 c 	 s 	 i 	 x 	 rhs.s 	 rhs.i 	 rhs.x 	 ev1 	 ev2 	 ev3
1 	 0.4899274 	 0.008213242 	 0.5000131 	 -4.612666e-07 	 -2.98314e-06 	 4.006306e-06 	 -1.99222113853086+0i 	 -0.0246043631953639+0.0519567455783318i 	 -0.0246043631953639-0.0519567455783318i 
3.45 	 0.4900489 	 0.00816047 	 0.4999542 	 -1.394491e-06 	 1.995597e-06 	 -7.732091e-07 	 -1.99639221780501+0i 	 -0.02208356161793+0.104005846399928i 	 -0.02208356161793-0.104005846399928i 
5.9 	 0.4900138 	 0.008144769 	 0.5000045 	 8.191749e-06 	 5.608665e-07 	 -8.748108e-06 	 -2.00047484250287+0i 	 -0.020091376636374+0.137305416652055i 	 -0.020091376636374-0.137305416652055i 
8.35 	 0.4899323 	 0.008174693 	 0.5000577 	 -5.177717e-06 	 -2.768005e-06 	 7.64907e-06 	 -2.00453531345963+0i 	 -0.018340246429906+0.164198408262546i 	 -0.018340246429906-0.164198408262546i 
10.8 	 0.4901136 	 0.008152641 	 0.4998944 	 5.463434e-06 	 4.631201e-06 	 -9.197934e-06 	 -2.00853408923884+0i 	 -0.015833000532239+0.186791048071632i 	 -0.015833000532239-0.186791048071632i 
13.25 	 0.4898896 	 0.008176051 	 0.5001022 	 -1.042274e-05 	 -4.512986e-06 	 1.3581e-05 	 -2.01255858924479+0i 	 -0.014439849853276+0.207225354764581i 	 -0.014439849853276-0.207225354764581i 
15.7 	 0.4901078 	 0.008131032 	 0.4999107 	 3.755661e-05 	 4.383206e-06 	 -4.056801e-05 	 -2.01642241614663+0i 	 -0.01185039929533+0.224967293693702i 	 -0.01185039929533-0.224967293693702i 
18.15 	 0.4899739 	 0.008200051 	 0.5000078 	 -5.24979e-05 	 -1.068969e-06 	 5.352197e-05 	 -2.02051067712926+0i 	 -0.010313990471641+0.242780410488918i 	 -0.010313990471641-0.242780410488918i 
20.6 	 0.4897954 	 0.008147899 	 0.5002135 	 2.815168e-05 	 -8.335175e-06 	 -2.537613e-05 	 -2.02428039771885+0i 	 -0.008746220525603+0.257667964950165i 	 -0.008746220525603-0.257667964950165i 
23.05 	 0.4904617 	 0.008146642 	 0.4995377 	 2.314386e-05 	 1.880728e-05 	 -3.07153e-05 	 -2.02809185990272+0i 	 -0.005174770128114+0.272390882183593i 	 -0.005174770128114-0.272390882183593i 
25.5 	 0.4898213 	 0.008203688 	 0.5001726 	 -7.956888e-05 	 -7.329741e-06 	 8.263102e-05 	 -2.03218775858635+0i 	 -0.004868242129417+0.28722332290133i 	 -0.004868242129417-0.28722332290133i 
27.95 	 0.4896825 	 0.008168722 	 0.500323 	 -1.133732e-05 	 -1.296725e-05 	 1.222536e-05 	 -2.03587808175422+0i 	 -0.003284607771773+0.299816607590563i 	 -0.003284607771773-0.299816607590563i 
30.4 	 0.4906139 	 0.008087068 	 0.4993787 	 0.0001765986 	 2.482256e-05 	 -0.0001856861 	 -2.03918982330639+0i 	 0.000897305547308+0.310879670896885i 	 0.000897305547308-0.310879670896885i 
32.85 	 0.4901501 	 0.008253054 	 0.499855 	 -0.0002362724 	 6.192455e-06 	 0.0002364467 	 -2.04381200296488+0i 	 0.001640827375072+0.326090609007385i 	 0.001640827375072-0.326090609007385i 
35.3 	 0.4899434 	 0.008155991 	 0.5000569 	 1.969217e-05 	 -2.309776e-06 	 -2.058496e-05 	 -2.04705640021635+0i 	 0.002988730800442+0.335762971957847i 	 0.002988730800442-0.335762971957847i 
37.75 	 0.4892736 	 0.008125598 	 0.5007288 	 0.0001170211 	 -2.951169e-05 	 -0.0001139939 	 -2.05065303231826+0i 	 0.00317495297143+0.346268874712475i 	 0.00317495297143-0.346268874712475i 
40.2 	 0.4912736 	 0.008152252 	 0.4986966 	 3.460706e-05 	 5.191551e-05 	 -3.545162e-05 	 -2.05423761857115+0i 	 0.009867977050008+0.357483698893309i 	 0.009867977050008-0.357483698893309i 
42.65 	 0.4897631 	 0.008259469 	 0.5002828 	 -0.0003178084 	 -9.781287e-06 	 0.0003289158 	 -2.05880923904409+0i 	 0.008152017248395+0.370264308803129i 	 0.008152017248395-0.370264308803129i 
45.1 	 0.4899775 	 0.008147594 	 0.5000132 	 5.782388e-05 	 -9.155149e-07 	 -5.665766e-05 	 -2.06163388933457+0i 	 0.010381784303736+0.377852669001516i 	 0.010381784303736-0.377852669001516i 
47.55 	 0.4892118 	 0.008156667 	 0.5007948 	 3.515937e-05 	 -3.214712e-05 	 -2.516269e-05 	 -2.06541557447482+0i 	 0.010315048252021+0.387852425366067i 	 0.010315048252021-0.387852425366067i 
50 	 0.4911938 	 0.008095255 	 0.4987321 	 0.0002665862 	 4.832064e-05 	 -0.0002725523 	 -2.06819225082965+0i 	 0.016777669964489+0.395739841610204i 	 0.016777669964489-0.395739841610204i 
